|            input_WFE |                 r_0.00 |                r_0.04 |               r_0.08 |                 r_0.12 |               r_0.16 |                 r_0.20 |                r_0.24 |               r_0.28 |                 r_0.32 |                 r_0.36 |                 r_0.40 |
|                  0.0 | 0.00016693873015643617 | 0.0006523589329302287 |  0.00911616837133559 | -0.0015060801585422047 | 0.001401790743652696 |  -0.003279905601866534 | 0.0009353989668942055 | 0.005096089729890586 |  -0.003379066029238919 |   -0.00462283128290994 | -0.0032754208356439024 |
|               0.0125 |   0.024338457282351754 |  0.017071945876954316 |  0.01660405558095388 |   0.004359695363834321 | 0.005614054343849414 | 0.00016371480895013423 | 0.0035512643438882652 | 0.007314980542946453 | -0.0011954717461295232 | -0.0022314747144185037 |  -0.002166216578301475 |
|                0.025 |    0.04127621206123463 |     0.030795670967402 | 0.023941469951069962 |   0.010196835542554824 | 0.009812048766285253 |    0.00366297270839842 |  0.006206067015721357 | 0.009611715408503066 |   0.001011503796876002 |  6.806292031598717e-05 | -0.0010601164966395219 |
| 0.037500000000000006 |   0.049683244198072206 |   0.04063231900784131 |  0.03110575150230783 |   0.016031833135992487 |  0.01383477302275811 |   0.007113360536024272 |  0.008871886791097626 |    0.011949227254341 |  0.0032472916082575266 |   0.002195603475038998 | 0.00014288748470503093 |
|                 0.05 |    0.05192143081761263 |   0.04683414199482888 |  0.03773619228839529 |   0.021933000933553597 | 0.017612352008181665 |   0.010398612072906032 |  0.011511691155583731 |  0.01422086831754989 |   0.005504349080460702 |   0.004186582630111546 |  0.0015170934861645287 |
|               0.0625 |    0.05122880262785635 |  0.050319937897909964 | 0.043387352143372825 |    0.02789894041039039 |  0.02122690872959814 |   0.013447862687532753 |  0.014141731203396296 | 0.016308183516568604 |   0.007763669085983521 |  0.0061806716336757495 |  0.0030821396044568845 |
|  0.07500000000000001 |    0.05107398852794366 |  0.052135355390071164 |  0.04777852652167906 |   0.033776842994198183 |  0.02488342466914378 |   0.016280031047439546 |   0.01687252823167389 | 0.018156714419810583 |   0.010003570633361858 |   0.008324062379189217 |   0.004801623075427253 |
|  0.08750000000000001 |    0.05237696000985964 |    0.0531759738574069 |  0.05089780718407755 |   0.039283008439521434 | 0.028787033499540437 |   0.019015659577537463 |  0.019860904160673085 | 0.019822886146603443 |   0.012207405654001753 |   0.010668896616921181 |   0.006608220307218333 |
|                  0.1 |    0.05430087314460984 |    0.0540149288175761 |  0.05295298085329212 |    0.04410565212748227 | 0.033006438986343055 |   0.021849232488572814 |  0.023184836170879006 |  0.02145555978082785 |    0.01436604877544762 |   0.013156854639624382 |   0.008435742303163981 |
|               0.1125 |     0.0559797543496946 |  0.054866211648569856 |  0.05425010865777211 |    0.04801560009012931 |  0.03741636311508541 |   0.024984093701863667 |  0.026757335080500835 | 0.023212818439753292 |    0.01647999384233564 |   0.015669959261669433 |   0.010237276926245356 |
|                0.125 |   0.056796696953682155 |   0.05568936602719409 |  0.05508604158231216 |   0.050927271594800726 |  0.04173993492826775 |   0.028547073660646214 |  0.030350612447171937 | 0.025163212690875625 |   0.018567838907589285 |    0.01809661792634554 |   0.011984137917667078 |
|               0.1375 |   0.056688472413528264 |   0.05635912707857854 |  0.05568360337638674 |      0.052905247309773 |  0.04565392955088918 |   0.032522234459009286 |  0.033698183323403845 | 0.027248861224190093 |   0.020672620968880697 |    0.02037615894657718 |   0.013659334225092256 |
|  0.15000000000000002 |    0.05642443478585569 |  0.056807869293980705 |  0.05616421585229448 |    0.05413880259154415 | 0.048900239521915176 |   0.036738115935944074 |   0.03661924046814507 |  0.02933563367871262 |   0.022847280812532473 |    0.02249661179105591 |   0.015263300399773758 |
|               0.1625 |    0.05671511386636797 |   0.05707474959320121 |  0.05656602893610117 |    0.05488384484533162 |   0.0513557179465223 |    0.04091458725423682 |  0.039116137385048336 |  0.03130752891277916 |   0.025122396512359972 |    0.02445462286276137 |   0.016832362380585005 |
|  0.17500000000000002 |   0.057346348583976525 |  0.057259436853027396 |  0.05689338628164726 |   0.055377486317498316 |  0.05304716455299618 |   0.044749720665618525 |   0.04137635265340218 |  0.03315750928364429 |    0.02748382081316447 |   0.026225502919161443 |   0.018446782419145425 |
|               0.1875 |     0.0579493968141025 |  0.057444010269485625 |  0.05715480351381753 |   0.055775132975554996 |   0.0541254440928885 |   0.048007673053288055 |   0.04363510608520427 |  0.03501757404086158 |   0.029878629021780057 |   0.027775692779600257 |   0.020207797177786015 |
|                  0.2 |   0.058235768798331436 |    0.0576530622435377 |  0.05737148925586738 |    0.05614356359473728 |  0.05480785178149556 |    0.05056999748642529 |   0.04600016021164493 |  0.03707671227326295 |    0.03224462317865369 |     0.0291081691880069 |    0.02219086336279363 |
|  0.21250000000000002 |   0.058137389029732124 |   0.05786914618234668 |  0.05757115881638534 |    0.05649429014074413 |   0.0553015127070001 |    0.05244129423434922 |   0.04839638629876652 | 0.039445313294550984 |    0.03454657284052143 |    0.03030927008453111 |   0.024404096614975102 |
|                0.225 |     0.0579228562464495 |   0.05807131615823347 |  0.05777851815882915 |      0.056823564108123 |  0.05574385963072206 |    0.05372635650892104 |   0.05064008092801459 | 0.042092782954442916 |    0.03680002591063441 |   0.031547281089316495 |   0.026777808884986126 |
|  0.23750000000000002 |   0.058036116723659055 |  0.058258671856223125 |  0.05800544174484577 |    0.05713482286632144 | 0.056186680433330645 |   0.054592011255167425 |   0.05255072034337306 |  0.04487794273712961 |   0.039064085340253574 |   0.032992068067172566 |    0.02919207476010323 |
