|            input_WFE |                 r_0.00 |               r_0.04 |                 r_0.08 |                 r_0.12 |                r_0.16 |                r_0.20 |               r_0.24 |               r_0.28 |                r_0.32 |                  r_0.36 |               r_0.40 |
|                  0.0 | 0.00016693873015643617 | 0.001214470410497168 |  -0.004976401744781817 | -0.0009436637207272348 | 0.0020118673797442747 | 0.0004780760201750032 | 0.004905004592000755 | 0.004508214403380674 | 0.0020367259391330457 |   -0.005291238678903904 | 0.004748317158677696 |
|               0.0125 |   0.024338457282351754 | 0.014543273683075618 | -7.184565470540049e-05 |   0.003667478941550407 |  0.004860703988286669 | 0.0029015184062055987 |  0.00647858332254398 |  0.00633670585085286 |  0.003213054273394541 |  -0.0038758349760828295 | 0.005780137388277457 |
|                0.025 |    0.04127621206123463 | 0.026561743432279163 |   0.005721609567356526 |   0.008139563645102913 |   0.00787850972081479 |  0.005193778222998541 | 0.008014322042056422 | 0.008075903260783345 |  0.004460371734195077 |  -0.0025484890619186865 | 0.006759359401659561 |
| 0.037500000000000006 |   0.049683244198072206 | 0.036491310872403426 |   0.012871228793336052 |   0.012397533169138055 |  0.011132386557680847 |  0.007304580598122179 | 0.009507772907854732 |   0.0096949353611347 |  0.005919233574293378 |  -0.0013093154004925292 | 0.007643985044657234 |
|                 0.05 |    0.05192143081761263 | 0.043990894888773766 |    0.02117728087334917 |   0.016587000800753378 |  0.014530678953592027 |  0.009304640737108601 | 0.010928535491316718 |  0.01121460859461819 |  0.007651610287479203 | -0.00010276405372335582 |  0.00844088395621634 |
|               0.0625 |    0.05122880262785635 |  0.04905340025924496 |   0.029865417197338182 |   0.021037351788699143 |    0.0179263885504031 |  0.011359265471515405 | 0.012279181899612334 |  0.01270005452276648 |  0.009623460710418731 |   0.0011614847029726195 |  0.00920461455721389 |
|  0.07500000000000001 |    0.05107398852794366 |  0.05197170443558887 |    0.03791393463874798 |    0.02603231880613537 |  0.021235525861881384 |  0.013604422551093362 | 0.013630764119514782 |  0.01422323317110045 |  0.011722558899907254 |   0.0025574336261750706 | 0.010003261900282964 |
|  0.08750000000000001 |    0.05237696000985964 |  0.05334294268914507 |   0.044479938526962866 |   0.031544807455430035 |  0.024520584866382672 |   0.01604606774900389 | 0.015115405980488507 | 0.015817483740369138 |  0.013800399948989139 |    0.004089757562523083 | 0.010870795314541241 |
|                  0.1 |    0.05430087314460984 | 0.053938661887814356 |    0.04916042291395408 |     0.0372103336781237 |  0.027989306113317954 |   0.01858230025705152 | 0.016889541211610917 | 0.017460825381092063 |  0.015728991022803118 |   0.0056814541687753494 | 0.011810986078884003 |
|               0.1125 |     0.0559797543496946 |  0.05446254730040946 |    0.05200136868550948 |   0.042507514386631265 |   0.03185498031128829 |   0.02109602623392777 | 0.019042417975959392 | 0.019097158724795248 |   0.01745287709258357 |    0.007206001530233827 |  0.01282643697792454 |
|                0.125 |   0.056796696953682155 |  0.05521405884295097 |    0.05339632099034966 |   0.046971753878073626 |   0.03612249171931094 |  0.023560992468441958 |  0.02150598757594398 | 0.020687074586859575 |  0.019007252681740097 |    0.008548162740593338 |  0.01390797737406544 |
|               0.1375 |   0.056688472413528264 | 0.056068625460476404 |   0.053986241330281196 |    0.05032760403155562 |   0.04051545131749104 |   0.02614920167732535 |  0.02408059536081633 | 0.022264345772124463 |   0.02048894443764407 |    0.009674337384374664 | 0.015028058554026417 |
|  0.15000000000000002 |    0.05642443478585569 |  0.05676132027372262 |   0.054434626862867624 |    0.05251818185892093 |   0.04460931999829435 |  0.029209426389368465 | 0.026549069992610523 | 0.023928699364101903 |  0.021998684968093495 |    0.010656483216368548 |  0.01615682480467793 |
|               0.1625 |    0.05671511386636797 |  0.05712843874716099 |     0.0550369883073059 |    0.05368725852245519 |   0.04802680215270322 |   0.03296034692291115 |  0.02880987560748843 |  0.02575396004065094 |  0.023599781552468405 |     0.01161172116380141 | 0.017275309913563075 |
|  0.17500000000000002 |   0.057346348583976525 |  0.05721841563493095 |    0.05571514609312519 |    0.05417572776707461 |   0.05056703952845673 |   0.03725138835695198 | 0.030983286876342945 | 0.027722616536038518 |  0.025319016858351334 |     0.01262599158000866 | 0.018388711502827143 |
|               0.1875 |     0.0579493968141025 |  0.05725237163805585 |    0.05627764869135283 |    0.05445989513697831 |  0.052240155420316126 |   0.04165499655892489 |   0.0333906170727885 | 0.029748733498847345 |  0.027160165019849043 |     0.01373432368052104 | 0.019529445871485918 |
|                  0.2 |   0.058235768798331436 |  0.05741990505693603 |    0.05661772698433779 |    0.05485972532391524 |   0.05322239291115681 |   0.04569511592138632 |  0.03632022663944679 | 0.031751598301607155 |   0.02909501659038521 |    0.014954397479381801 |  0.02072218958189765 |
|  0.21250000000000002 |   0.058137389029732124 |  0.05772206468532007 |    0.05679074367673582 |    0.05539478611536195 |   0.05377336518494136 |  0.049027742362497496 |  0.03977592899047778 |  0.03373683887875047 |   0.03106113144669751 |     0.01632599956138644 | 0.021955205675686155 |
|                0.225 |     0.0579228562464495 | 0.058048321995195974 |    0.05696480672468637 |    0.05594680944265451 |  0.054180277879122635 |   0.05151107614014474 | 0.043462729484751925 |  0.03583951680962057 |   0.03298467450343315 |    0.017912420640434596 |  0.02319351202332925 |
|  0.23750000000000002 |   0.058036116723659055 | 0.058299211683083385 |   0.057262437758551894 |   0.056406706545527804 |   0.05464520466245146 |  0.053167235701829026 | 0.046959171048731735 |  0.03825076836271431 |  0.034805340327017556 |    0.019744363348886147 |  0.02440710482699172 |
