| order |               err1 |               err2 |             errstd1 |            errstd2 |
|   -12 | 1.6882981925927574 |  2.239986312215726 |  0.5618270320312603 | 0.5523020164393244 |
|   -11 | 1.8208104529723463 |  2.100902047511731 |  0.6085288015370908 | 0.5266617481259026 |
|   -10 | 2.0512698802705307 | 2.7126563920694147 |  0.6312884518739499 | 0.5451708499855892 |
|    -9 | 2.0825479616650737 |  2.380183016774211 |  0.7584012361382149 | 0.5241701015613011 |
|    -8 | 1.6533877041194032 | 2.5684211808169604 |  0.4502806190172344 | 0.6687958491027766 |
|    -7 |  1.867673509018522 | 2.5108164142691924 |  0.5625253227708801 | 0.5072278377410516 |
|    -6 |  1.808385808822284 |  3.130346266455814 |  0.7402902804036234 | 0.6699392359470542 |
|    -5 | 1.5120361121057897 |  3.138384178939096 | 0.26031704557613533 | 0.5992809321809522 |
