| num_screens |               error |
|           4 | 0.15364880638328157 |
|           8 | 0.12883838936688977 |
|          12 |  0.1258502463929504 |
|          16 | 0.12426446997594452 |
|          20 | 0.12778211622933497 |
|          24 |  0.1229227968279562 |
|          28 | 0.12391861561946768 |
|          32 | 0.12103295228093602 |
|          36 | 0.12219692479207478 |
|          40 | 0.12249481617330976 |
|          44 | 0.12067207971245655 |
|          48 | 0.11849578378786989 |
|          52 | 0.12064831731269791 |
|          56 |  0.1219518132182984 |
|          60 | 0.11949662652750552 |
|          64 | 0.11899900100716963 |
|          68 | 0.12061536885405437 |
|          72 | 0.12065699312689561 |
|          76 | 0.11975498483666683 |
|          80 |  0.1201172315215916 |
|          84 | 0.12142194564800125 |
|          88 | 0.11818353560095043 |
|          92 | 0.11816553509267026 |
|          96 | 0.11875619405812601 |
|         100 |  0.1186711019533125 |
|         104 | 0.11874213507970457 |
|         108 |  0.1202567122174682 |
|         112 | 0.11992855751512345 |
|         116 | 0.11744678704997678 |
|         120 | 0.11665324541985582 |
|         124 | 0.11632315881348496 |
|         128 | 0.11600923518103635 |
|         132 | 0.11535530987493771 |
|         136 |  0.1137185830817396 |
|         140 | 0.11221087398085831 |
|         144 |  0.1127574672315551 |
|         148 | 0.11264555812732736 |
|         152 | 0.11426976821908763 |
|         156 |  0.1152331367945043 |
|         160 | 0.11548969677154314 |
|         164 | 0.11541640721257015 |
|         168 | 0.11533246714738196 |
|         172 | 0.11497047716902066 |
|         176 | 0.11614083236901052 |
|         180 | 0.11555627842097696 |
|         184 | 0.11545063637091378 |
|         188 | 0.11450184361117369 |
|         192 | 0.11363931072049378 |
|         196 | 0.11423375051845933 |
|         200 |   0.114225080132341 |
|         204 | 0.11394294949477281 |
|         208 | 0.11378101605004491 |
|         212 |  0.1143345814742114 |
|         216 | 0.11467824076712134 |
|         220 |  0.1155876728285807 |
|         224 |  0.1154102638180458 |
|         228 |  0.1150641639228402 |
|         232 | 0.11467643954246216 |
|         236 | 0.11395511860421403 |
|         240 |  0.1142237598268116 |
|         244 | 0.11375733623436157 |
|         248 | 0.11397412624597632 |
|         252 | 0.11290398384514445 |
|         256 | 0.11420289158296741 |
