|          num_screens |              error |   uncorrected_ee50 |     corrected_ee50 |
|                  0.0 | 0.6413236661162462 | 49.580608014326494 |   26.7056606238275 |
|                0.001 | 0.6386038324968886 |    49.637525899155 | 26.607119632222627 |
|                0.002 |  0.635779659976677 |  49.79613597775521 | 26.537785626352896 |
|                0.003 | 0.6335063414563741 | 50.544871025249044 | 26.533301014736537 |
|                0.004 | 0.6319809560348368 |  51.02398178726629 | 26.731471175082508 |
|                0.005 | 0.6307643725729113 | 51.669313483594806 |  27.68486841355246 |
|                0.006 | 0.6297532385193757 |   50.1270529388675 | 28.535305937720995 |
|                0.007 | 0.6286045678950685 |  50.51162263092231 | 29.487883058352747 |
|                0.008 | 0.6275262803883874 |  50.86671766497934 | 30.415565606545833 |
| 0.009000000000000001 | 0.6264883562667374 |  51.16905391886023 |  31.89563451960723 |
