|            input_WFE |                 r_0.00 |               r_0.04 |                  r_0.08 |                r_0.12 |               r_0.16 |               r_0.20 |                r_0.24 |                 r_0.28 |                  r_0.32 |                r_0.36 |                r_0.40 |
|                  0.0 | 0.00016693873015643154 | 0.004047078772361876 | -0.00032522676702983024 | 0.0008568905727682872 |  0.02439484024616978 | 0.021573550110502014 | -0.009687891112238316 |  -0.004722186007125782 |   -0.003397952340042454 | 0.0025352589878780605 | 0.0014628896934583161 |
|               0.0125 |   0.024338457282351747 | 0.019945271693473304 |    0.007343607365905931 |  0.007084328162316454 |  0.02591343514946201 | 0.024246498308819496 | -0.007867303348440078 | -0.0017510844488442057 |   -0.001696790532025956 |  0.004054861565255774 | 0.0032055046952378964 |
|                0.025 |    0.04127621206123463 |  0.03231850387808295 |    0.014886192612930785 |  0.013820645941975341 | 0.026907486862103397 | 0.025672489040016358 | -0.005215772059845624 |   0.002104788051546841 | -1.7309106727911092e-05 |  0.005677683678854789 |  0.005425524826684626 |
| 0.037500000000000006 |   0.049683244198072206 |  0.04073571475007539 |    0.022677703598472335 |  0.020682582767108867 | 0.028099047501312806 |  0.02624063351687228 | -0.002005971842959904 |   0.006624162930505159 |    0.001752606664510717 |  0.007140523409860014 |  0.007588270653285544 |
|                 0.05 |   0.051921430817612614 | 0.046037242589240676 |    0.030583290793152806 |   0.02726475594012033 | 0.030050304886017867 | 0.026653197560992475 | 0.0015087747525579307 |    0.01130415300866781 |    0.003610365424787448 |  0.008211264464122809 |  0.009145988798680733 |
|               0.0625 |    0.05122880262785633 |  0.04937558947205153 |      0.0380053761089216 |   0.03322507686089134 |  0.03285593591980489 |  0.02733975402735696 |  0.005190133326985125 |   0.015580260254894342 |   0.0055055796789439185 |  0.008827499443752647 |  0.009775594041743706 |
|  0.07500000000000001 |    0.05107398852794367 | 0.051616645675731807 |     0.04424019729779517 |   0.03837217419003396 |  0.03620533624628721 | 0.028258877462897496 |   0.00903361366448445 |   0.019032809483720655 |    0.007369699078712118 |  0.009211211555140776 |  0.009792167845325226 |
|  0.08750000000000001 |    0.05237696000985964 |  0.05320138528177232 |     0.04880747500267672 |   0.04269386458159773 |  0.03961683425644613 | 0.029145281287859395 |  0.013063081928586955 |    0.02149794695451138 |    0.009138856717225844 |  0.009838130126914908 |   0.01028938929846642 |
|                  0.1 |    0.05430087314460984 |   0.0543181066689146 |     0.05164234751609985 |   0.04630384608419426 |  0.04267717120095105 | 0.029765103808575364 |  0.017195878528936146 |   0.023065321886978043 |    0.010796053314260664 |  0.011043410693543677 |  0.012266727226446892 |
|               0.1125 |     0.0559797543496946 | 0.055088323770411854 |    0.053153844623434345 |  0.049332296042364526 |  0.04522808584871478 |  0.03013046867552693 |  0.021208151903060815 |   0.024020942266620326 |    0.012387975217808874 |  0.012734944504316767 |   0.01592358040956889 |
|                0.125 |    0.05679669695368214 |  0.05564997001446057 |     0.05401151098083481 |   0.05182110428055304 |  0.04738322927380924 |    0.030616572741803 |   0.02481133850987004 |   0.024800775144964128 |    0.014030901633877269 |  0.014590366949388986 |  0.020758270324756044 |
|               0.1375 |    0.05668847241352828 |  0.05614190818872072 |    0.054723723142031576 |   0.05370905461819768 |  0.04933192968438147 |  0.03176065090596509 |   0.02779348381988106 |   0.025961602819762335 |    0.015927489040405394 |  0.016261050040959096 |  0.025894143856148355 |
|  0.15000000000000002 |    0.05642443478585569 | 0.056623725565355554 |      0.0554486133941755 |  0.054931231780684035 |   0.0511708495003765 | 0.033912915613959614 |   0.03020523003375627 |   0.028067246315461446 |    0.018290722736219355 |  0.017519569814196955 |     0.030399085879656 |
|               0.1625 |   0.056715113866367975 | 0.057057268060017416 |     0.05610672837649404 |   0.05555180707488039 |  0.05287068322739651 | 0.037052448048783215 |   0.03246643733722673 |   0.031368926099954814 |    0.021175509066396724 |  0.018394974473988746 |   0.03358345159614099 |
|  0.17500000000000002 |    0.05734634858397652 |  0.05737722063474661 |     0.05656110618762749 |  0.055812021281332135 | 0.054305685067930806 | 0.040812989676373534 |   0.03514409219072424 |      0.035585405082186 |    0.024411716072622457 |   0.01922176542431527 |   0.03525642407126954 |
|               0.1875 |     0.0579493968141025 | 0.057561683283397495 |    0.056779415370546836 |    0.0560169734380469 |   0.0553438796806489 |  0.04464961912863058 |   0.03853162539223154 |    0.04009099017890797 |    0.027682096187055173 |  0.020376637426258816 |   0.03600782373473639 |
|                  0.2 |   0.058235768798331436 | 0.057661063345361765 |     0.05689143337758778 |   0.05634806075931681 |  0.05597990815791304 |  0.04806843338838837 |   0.04243605538328306 |    0.04424588214132558 |    0.030659017219739803 |  0.021946960113630495 |   0.03683878261800227 |
|  0.21250000000000002 |   0.058137389029732124 | 0.057773432860622205 |     0.05706369063659686 |  0.056786642162136775 | 0.056368874645994944 |  0.05078787338382935 |    0.0463446692540779 |   0.047625390363700275 |     0.03313538307868447 |   0.02374746286891452 |   0.03824042253053142 |
|                0.225 |     0.0579228562464495 | 0.057966907308776475 |     0.05735433171846287 |   0.05721011380877012 |  0.05668317148928948 | 0.052744030270190444 |   0.04973483871453665 |     0.0501106193194162 |     0.03511907120944099 |   0.02546872117970518 |  0.040096223028339664 |
|  0.23750000000000002 |   0.058036116723659055 | 0.058227960415393756 |     0.05771130032441905 |   0.05752011159489556 |   0.0569975492144425 | 0.054038663374296886 |   0.05228407116552544 |   0.051854185691503574 |    0.036859896587314145 |   0.02683114100610978 |   0.04202875372945427 |
