| input_WFE |              r_0.80 |
|       0.0 | 0.15485828493256998 |
|     0.157 |  0.1550123250574892 |
|     0.314 | 0.15721667006383702 |
|     0.471 | 0.15934704494574217 |
|     0.628 |  0.1656127972079286 |
|     0.785 | 0.16028187180617956 |
|     0.942 |  0.1681152603939261 |
|     1.099 |  0.1630895941760672 |
|     1.256 | 0.17286334650809912 |
|     1.413 | 0.18037544066673664 |
|      1.57 |  0.1798397609211511 |
|     1.727 | 0.19229386789725816 |
|     1.884 |  0.1952939579417642 |
|     2.041 |  0.2089362319019884 |
|     2.198 |  0.2112941284703752 |
|     2.355 | 0.21500219014434174 |
|     2.512 |  0.2178346469681963 |
|     2.669 |   0.237974505675238 |
|     2.826 | 0.23380984329304982 |
|     2.983 | 0.23756638461544613 |
|      3.14 | 0.25455037289932053 |
|     3.297 |   0.259494095933998 |
|     3.454 | 0.28025176190598994 |
|     3.611 |  0.2936768317162847 |
|     3.768 |  0.2857000781605367 |
|     3.925 |  0.2967965118943495 |
|     4.082 |  0.3159745213602082 |
|     4.239 | 0.33004718761592333 |
|     4.396 | 0.33283919579165705 |
|     4.553 |  0.3551553666047802 |
|      4.71 |  0.3554144022432238 |
|     4.867 | 0.36619595650446396 |
|     5.024 |  0.3776312600030541 |
|     5.181 |  0.3782745283771501 |
|     5.338 |  0.3715085056393931 |
|     5.495 |   0.411750813100577 |
|     5.652 |  0.4242023614637134 |
|     5.809 | 0.42100341400607016 |
|     5.966 | 0.43716624246250735 |
|     6.123 | 0.42648454030781374 |
|      6.28 | 0.49254921628673004 |
